Data,Godzina,Generacja źródeł wiatrowych,Generacja źródeł fotowoltaicznych
2022-01-19,10,2893.825,416.850
2022-01-19,11,2612.113,768.975
2022-01-19,12,2358.450,1015.613
2022-01-19,13,2276.225,1128.438
2022-01-19,14,2182.638,1090.163
2022-01-19,15,2296.675,854.900
2022-01-19,16,2808.988,394.825
2022-01-19,17,3316.788,49.000
2022-01-19,18,3915.925,0.000
2022-01-19,19,4405.400,0.000
2022-01-19,20,4963.613,0.000
2022-01-19,21,5448.100,0.000
2022-01-19,22,5714.963,0.000
2022-01-19,23,6068.275,0.000
2022-01-19,24,6090.100,0.000
2022-01-20,1,6114.000,0.000
2022-01-20,2,6237.425,0.000
2022-01-20,3,6284.388,0.000
2022-01-20,4,6276.938,0.000
2022-01-20,5,6338.063,0.000
2022-01-20,6,6249.300,0.000
2022-01-20,7,6215.275,0.000
2022-01-20,8,6285.175,3.288
2022-01-20,9,6253.375,94.113
2022-01-20,10,6192.425,343.450
2022-01-20,11,6231.075,748.250
2022-01-20,12,6226.513,1175.013
2022-01-20,13,6198.313,982.850
2022-01-20,14,6219.000,836.900
2022-01-20,15,6195.488,740.413
2022-01-20,16,6084.475,305.325
2022-01-20,17,6037.913,50.025
2022-01-20,18,6026.650,0.000
2022-01-20,19,5953.575,0.000
2022-01-20,20,5987.288,0.000
2022-01-20,21,6055.275,0.000
2022-01-20,22,6035.625,0.000
2022-01-20,23,5945.313,0.000
2022-01-20,24,5907.063,0.000
2022-01-21,1,6012.763,0.000
2022-01-21,2,6069.175,0.000
2022-01-21,3,6087.413,0.000
2022-01-21,4,6204.113,0.000
2022-01-21,5,6216.200,0.000
2022-01-21,6,6149.675,0.000
2022-01-21,7,6162.675,0.000
2022-01-21,8,6127.813,8.575
2022-01-21,9,5993.625,112.775
2022-01-21,10,5945.125,467.100
2022-01-21,11,5883.163,854.163
2022-01-21,12,5915.988,1090.800
2022-01-21,13,5828.413,1105.838
2022-01-21,14,5746.900,865.738
2022-01-21,15,5616.700,598.425
2022-01-21,16,5404.625,299.950
2022-01-21,17,5063.850,45.238
2022-01-21,18,5033.388,0.000
2022-01-21,19,5206.138,0.000
2022-01-21,20,5042.588,0.000
2022-01-21,21,4581.625,0.000
2022-01-21,22,4174.063,0.000
2022-01-21,23,3963.688,0.000
2022-01-21,24,3773.213,0.000
2022-01-22,1,3668.425,0.000
2022-01-22,2,3672.150,0.000
2022-01-22,3,3665.663,0.000
2022-01-22,4,3770.775,0.000
2022-01-22,5,3902.225,0.000
2022-01-22,6,3974.425,0.000
2022-01-22,7,3922.563,0.000
2022-01-22,8,3938.138,7.675
2022-01-22,9,3749.613,110.025
2022-01-22,10,3287.438,432.013
2022-01-22,11,2944.913,826.950
2022-01-22,12,2503.313,1022.375
2022-01-22,13,2484.375,1106.638
2022-01-22,14,2201.063,1070.863
2022-01-22,15,2082.400,705.588
2022-01-22,16,1918.200,349.363
2022-01-22,17,1901.825,59.563
2022-01-22,18,1970.375,0.000
2022-01-22,19,2037.188,0.000
2022-01-22,20,1891.288,0.000
2022-01-22,21,1794.375,0.000
2022-01-22,22,1812.213,0.000
2022-01-22,23,1761.575,0.000
2022-01-22,24,1709.400,0.000
2022-01-23,1,1544.625,0.000
2022-01-23,2,1431.963,0.000
2022-01-23,3,1351.013,0.000
2022-01-23,4,1315.750,0.000
2022-01-23,5,1202.875,0.000
2022-01-23,6,1038.788,0.000
2022-01-23,7,834.638,0.000
2022-01-23,8,699.575,8.788
2022-01-23,9,568.488,91.813
2022-01-23,10,441.188,335.750
2022-01-23,11,326.000,701.075
2022-01-23,12,266.238,1025.475
2022-01-23,13,240.163,1050.700
2022-01-23,14,176.713,945.975
2022-01-23,15,148.813,666.600
2022-01-23,16,159.750,323.013
2022-01-23,17,239.225,54.738
2022-01-23,18,254.400,0.000
2022-01-23,19,275.388,0.000
2022-01-23,20,262.538,0.000
2022-01-23,21,208.250,0.000
2022-01-23,22,212.625,0.000
2022-01-23,23,307.263,0.000
2022-01-23,24,496.875,0.000
2022-01-24,1,594.413,0.000
2022-01-24,2,675.038,0.000
2022-01-24,3,768.313,0.000
2022-01-24,4,852.113,0.000
2022-01-24,5,933.925,0.000
2022-01-24,6,1037.388,0.000
2022-01-24,7,1053.575,0.000
2022-01-24,8,1092.475,14.613
2022-01-24,9,1142.863,151.300
2022-01-24,10,1109.963,544.125
2022-01-24,11,1078.400,934.938
2022-01-24,12,1057.900,1218.175
2022-01-24,13,1121.463,1179.200
2022-01-24,14,1199.350,1003.550
2022-01-24,15,1336.475,747.275
2022-01-24,16,1492.100,387.938
2022-01-24,17,1596.725,78.488
2022-01-24,18,1688.663,0.000
2022-01-24,19,1755.475,0.000
2022-01-24,20,1808.850,0.000
2022-01-24,21,1840.013,0.000
2022-01-24,22,1932.038,0.000
2022-01-24,23,2125.313,0.000
2022-01-24,24,2330.388,0.000
2022-01-25,1,2458.838,0.000
2022-01-25,2,2559.050,0.000
2022-01-25,3,2514.613,0.000
2022-01-25,4,2550.588,0.000
2022-01-25,5,2620.900,0.000
2022-01-25,6,2724.788,0.000
2022-01-25,7,2766.550,0.000
2022-01-25,8,2640.700,3.763
2022-01-25,9,2702.038,56.238
2022-01-25,10,2803.450,217.625
2022-01-25,11,2708.663,433.263
2022-01-25,12,2678.938,568.938
2022-01-25,13,2704.825,617.588
2022-01-25,14,2648.675,571.588
2022-01-25,15,2410.213,410.150
2022-01-25,16,2204.650,196.613
2022-01-25,17,2127.600,34.063
2022-01-25,18,2078.338,0.000
2022-01-25,19,2121.238,0.000
2022-01-25,20,2061.200,0.000
2022-01-25,21,1929.388,0.000
2022-01-25,22,1739.475,0.000
2022-01-25,23,1631.113,0.000
2022-01-25,24,1503.050,0.000
2022-01-26,1,1483.738,0.000
2022-01-26,2,1462.275,0.000
2022-01-26,3,1532.650,0.000
2022-01-26,4,1690.738,0.000
2022-01-26,5,1797.625,0.000
2022-01-26,6,1932.575,0.000
2022-01-26,7,2091.750,0.000
2022-01-26,8,2240.075,5.838
2022-01-26,9,2373.113,83.813
2022-01-26,10,2671.263,210.775
2022-01-26,11,2953.700,374.313
2022-01-26,12,3419.988,516.100
2022-01-26,13,3856.300,545.575
2022-01-26,14,4060.863,452.913
2022-01-26,15,4242.713,311.875
2022-01-26,16,4486.963,140.538
2022-01-26,17,4731.938,27.913
2022-01-26,18,5043.538,0.000
2022-01-26,19,5264.413,0.000
2022-01-26,20,5398.063,0.000
2022-01-26,21,5549.013,0.000
2022-01-26,22,5514.250,0.000
2022-01-26,23,5416.725,0.000
2022-01-26,24,5350.575,0.000
2022-01-27,1,5280.550,0.000
2022-01-27,2,5243.913,0.000
2022-01-27,3,5171.363,0.000
2022-01-27,4,5235.825,0.000
2022-01-27,5,5230.088,0.000
2022-01-27,6,5250.150,0.000
2022-01-27,7,5417.813,0.000
2022-01-27,8,5600.063,6.963
2022-01-27,9,5734.338,50.588
2022-01-27,10,5920.175,247.550
2022-01-27,11,6080.575,383.375
2022-01-27,12,6100.963,376.688
2022-01-27,13,6115.688,499.050
2022-01-27,14,6163.963,455.975
2022-01-27,15,6212.525,364.813
2022-01-27,16,6296.550,253.075
2022-01-27,17,6367.388,39.625
2022-01-27,18,6342.663,0.000
2022-01-27,19,6434.925,0.000
2022-01-27,20,6521.575,0.000
2022-01-27,21,6548.050,0.000
2022-01-27,22,6512.850,0.000
2022-01-27,23,6426.913,0.000
2022-01-27,24,6412.025,0.000
2022-01-28,1,6395.650,0.000
2022-01-28,2,6403.913,0.000
2022-01-28,3,6376.525,0.000
2022-01-28,4,6358.875,0.000
2022-01-28,5,6369.875,0.000
2022-01-28,6,6378.700,0.000
2022-01-28,7,6432.650,0.000
2022-01-28,8,6414.550,8.125
2022-01-28,9,6364.588,60.225
2022-01-28,10,6312.300,197.263
2022-01-28,11,6326.213,379.263
2022-01-28,12,6391.250,511.500
2022-01-28,13,6425.238,559.138
2022-01-28,14,6314.450,534.938
2022-01-28,15,6275.025,514.263
2022-01-28,16,6090.025,333.650
2022-01-28,17,5673.125,91.263
2022-01-28,18,5362.925,0.000
2022-01-28,19,5326.063,0.000
2022-01-28,20,5001.088,0.000
2022-01-28,21,4659.925,0.000
2022-01-28,22,4118.263,0.000
2022-01-28,23,3764.325,0.000
2022-01-28,24,3519.113,0.000
2022-01-29,1,3258.988,0.000
2022-01-29,2,3206.725,0.000
2022-01-29,3,3236.650,0.000
2022-01-29,4,3152.488,0.000
2022-01-29,5,3119.525,0.000
2022-01-29,6,3271.563,0.000
2022-01-29,7,3493.538,0.000
2022-01-29,8,3754.775,26.675
2022-01-29,9,4139.888,251.875
2022-01-29,10,4448.125,742.675
2022-01-29,11,4737.850,1050.925
2022-01-29,12,5172.800,1031.913
2022-01-29,13,5565.950,919.550
2022-01-29,14,5833.238,785.963
2022-01-29,15,6092.963,469.788
2022-01-29,16,6354.350,223.713
2022-01-29,17,6529.788,35.475
2022-01-29,18,6645.925,0.000
2022-01-29,19,6573.788,0.000
2022-01-29,20,6382.563,0.000
2022-01-29,21,6186.663,0.000
2022-01-29,22,5638.625,0.000
2022-01-29,23,4974.425,0.000
2022-01-29,24,4502.263,0.000
2022-01-30,1,4194.600,0.000
2022-01-30,2,4350.725,0.000
2022-01-30,3,4435.700,0.000
2022-01-30,4,4274.225,0.000
2022-01-30,5,4175.038,0.000
2022-01-30,6,4443.900,0.000
2022-01-30,7,4570.775,0.000
