ADB_COUNTRY_CODE,ISO_CODE,COUNTRY_NAME,Geographic Regions,EU Members,Top 5 RES Energy Producers
TURK,TUR,Turkey,Middle East,Non-member,other
TUR,TKM,Turkmenistan,North Asia,Non-member,other
TCA,TCA,Turks And Caicos Islands,Latin America & Caribbean,Non-member,other
TUV,TUV,Tuvalu,Unclassified,Non-member,other
UG,UGA,Uganda,Africa,Non-member,other
UKR,UKR,Ukraine,Europe,Non-member,other
UAE,ARE,United Arab Emirates,Middle East,Non-member,other
UK,GBR,United Kingdom,Europe,Non-member,other
UMI,UMI,United States Minor Outlying Islands,Unclassified,Non-member,other
USA,USA,United States of America,United States,Non-member,Top 5 RES Energy Producer
URU,URY,Uruguay,Latin America & Caribbean,Non-member,other
USVI,VIR,US Virgin Islands,Latin America & Caribbean,Non-member,other
UZB,UZB,Uzbekistan,North Asia,Non-member,other
VAN,VUT,Vanuatu,Asia Pacific,Non-member,other
VAT,VAT,Vatican City State (Holy See),Unclassified,Non-member,other
VEN,VEN,Venezuela,Latin America & Caribbean,Non-member,other
VNAM,VNM,Vietnam,Asia Pacific,Non-member,other
WLF,WLF,Wallis And Futuna Islands,Unclassified,Non-member,other
WSAM,WSM,Western Samoa,Asia Pacific,Non-member,other
YEM,YEM,Yemen,Middle East,Non-member,other
ZAM,ZMB,Zambia,Africa,Non-member,other
ZIM,ZWE,Zimbabwe,Africa,Non-member,other
